Date,Close
24/06/2016,32.229603
27/06/2016,32.06831
28/06/2016,32.675522
29/06/2016,33.21632
30/06/2016,33.406071
01/07/2016,33.747627
05/07/2016,33.97533
06/07/2016,34.02277
07/07/2016,33.937382
08/07/2016,34.269451
11/07/2016,34.297913
12/07/2016,34.383301
13/07/2016,34.449715
14/07/2016,35.028461
15/07/2016,34.886147
18/07/2016,34.76281
19/07/2016,34.76281
20/07/2016,34.800758
21/07/2016,34.829224
22/07/2016,34.857685
25/07/2016,34.895638
26/07/2016,34.943073
27/07/2016,34.962048
28/07/2016,34.791271
29/07/2016,35
01/08/2016,35.398483
02/08/2016,34.525616
03/08/2016,33.481972
04/08/2016,33.349148
05/08/2016,33.624287
08/08/2016,33.140415
09/08/2016,33.28273
10/08/2016,33.33017
11/08/2016,33.349148
12/08/2016,33.187855
15/08/2016,33.311195
16/08/2016,33.007591
17/08/2016,33.339657
18/08/2016,33.387096
19/08/2016,33.187855
22/08/2016,33.055027
23/08/2016,33.292221
24/08/2016,33.036053
25/08/2016,32.988613
26/08/2016,33.036053
29/08/2016,33.311195
30/08/2016,33.092979
31/08/2016,33.017078
01/09/2016,32.903225
02/09/2016,32.988613
06/09/2016,32.988613
07/09/2016,33.055027
08/09/2016,32.941177
09/09/2016,32.35294
12/09/2016,32.874763
13/09/2016,32.296017
14/09/2016,32.201138
15/09/2016,32.390892
16/09/2016,32.201138
19/09/2016,31.925997
20/09/2016,32.077801
21/09/2016,32.52372
22/09/2016,32.400379
23/09/2016,32.504745
26/09/2016,31.91651
27/09/2016,32.096775
28/09/2016,32.248577
29/09/2016,31.612904
30/09/2016,32.134724
03/10/2016,31.954458
04/10/2016,31.992411
05/10/2016,32.163189
06/10/2016,31.925997
07/10/2016,31.840607
10/10/2016,31.888046
11/10/2016,31.432638
12/10/2016,31.375711
13/10/2016,31.081594
14/10/2016,30.986717
17/10/2016,30.834915
18/10/2016,31.015181
19/10/2016,30.92979
20/10/2016,30.872866
21/10/2016,30.531309
24/10/2016,30.483871
25/10/2016,30.626186
26/10/2016,30.740038
27/10/2016,30.815939
28/10/2016,30.294119
31/10/2016,30.085388
01/11/2016,29.478178
02/11/2016,29.06072
